releve_nr,cluster
115548,Armerion
115549,Corynephorion
115550,Armerion
115551,Corynephorion
115552,Armerion
115553,Armerion
115554,Armerion
115556,Armerion
115557,Armerion
115560,Armerion
115564,Armerion
115567,Armerion
115573,Armerion
115574,Corynephorion
115575,Armerion
115576,Corynephorion
115577,Armerion
115585,Corynephorion
115586,Corynephorion
115605,Corynephorion
115606,Corynephorion
115608,Armerion
115616,Armerion
115617,Armerion
115627,Armerion
115628,Armerion
115642,Armerion
115650,Corynephorion
115652,Corynephorion
115653,Armerion
115657,Armerion
115658,Armerion
115670,Armerion
307878,Armerion
307885,Festucion valesiacae
307886,Festucion valesiacae
307893,Festucion valesiacae
307894,Festucion valesiacae
307896,Festucion valesiacae
307897,Festucion valesiacae
307905,Festucion valesiacae
307907,Festucion valesiacae
307908,Festucion valesiacae
307911,Festucion valesiacae
307919,Festucion valesiacae
307926,Festucion valesiacae
307928,Festucion valesiacae
307932,Festucion valesiacae
307934,Festucion valesiacae
307947,Festucion valesiacae
307951,Festucion valesiacae
342099,Armerion
342103,Armerion
342104,Armerion
401761,Armerion
402435,Armerion
445394,Armerion
445395,Armerion
445410,Armerion
445416,Armerion
445417,Armerion
445422,Armerion
445449,Armerion
445450,Armerion
445462,Armerion
445463,Armerion
452435,Armerion
622109,Corynephorion
622119,Corynephorion
622121,Corynephorion
622123,Corynephorion
622127,Corynephorion
622128,Corynephorion
622132,Corynephorion
622135,Corynephorion
622143,Corynephorion
624692,Corynephorion
624694,Corynephorion
624697,Corynephorion
624744,Corynephorion
624745,Corynephorion
624750,Corynephorion
624751,Corynephorion
638289,Corynephorion
638316,Corynephorion
645703,Corynephorion
