valid_name,taxon_name
Acinos arvensis,Clinopodium acinos
Anthoxanthum odoratum,Anthoxanthum odoratum agg.
Arabis glabra,Turritis glabra
Arabis hirsuta,Arabis hirsuta agg.
Armeria elongata subsp. elongata,Armeria maritima
Avenula pratensis,Helictochloa pratensis
Betonica officinalis,Stachys officinalis
Bromus erectus,Bromopsis erecta
Bromus inermis,Bromopsis inermis
Bromus sterilis,Anisantha sterilis
Bromus tectorum,Anisantha tectorum
Carex digitata var. digitata,Carex digitata
Carex muricata agg.,Carex muricata
Carex tomentosa,Carex filiformis
Carlina vulgaris,Carlina vulgaris agg.
Cerastium glutinosum,Cerastium pumilum
Cerastium holosteoides,Cerastium fontanum subsp. vulgare
Chamaecytisus austriacus,Cytisus austriacus
Chamaecytisus ratisbonensis,Cytisus ratisbonensis
Conyza canadensis,Erigeron canadensis
Crataegus species,
Dorycnium germanicum,Dorycnium pentaphyllum
Elymus hispidus,Elytrigia intermedia
Elymus repens,Elytrigia repens agg.
Erigeron annuus agg.,Erigeron annuus
Erophila verna agg.,Draba verna agg.
Erysimum diffusum agg.,Erysimum diffusum
Festuca pratensis,Schedonorus pratensis
Festuca psammophila subsp. dominii,Festuca psammophila
Festuca pulchra,Festuca valesiaca agg.
Festuca rubra,Festuca rubra agg.
Festuca rupicola,Festuca stricta subsp. sulcata
Festuca valesiaca s. l.,Festuca valesiaca agg.
Galium album s. l.,Galium mollugo agg.
Gentianella sp.,
Juniperus communis,Juniperus communis subsp. communis
Knautia arvensis agg.,Knautia arvensis
Luzula campestris,Luzula campestris agg.
Luzula divulgata,Luzula campestris agg.
Luzula multiflora,Luzula campestris agg.
Malus sylvestris agg.,Malus sylvestris
Oenothera species,Oenothera biennis agg.
Ornithogalum umbellatum agg.,Ornithogalum umbellatum
Oxalis species,
Poa annua,Ochlopoa annua
Potentilla verna agg.,Potentilla incana
Prunus spinosa subsp. spinosa,Prunus spinosa
Pulsatilla species,
Quercus petraea agg.,Quercus petraea
Salix cinerea,Salix cinerea subsp. cinerea
Sanguisorba minor,Sanguisorba minor agg.
Senecio jacobaea,Jacobaea vulgaris
Senecio vernalis,Senecio leucanthemifolius
Silene latifolia subsp. alba,Silene latifolia
Silene otites,Silene otites agg.
Stipa borysthenica,Stipa borysthenica agg.
Thymus pannonicus agg.,Thymus odoratissimus agg.
Tragopogon orientalis,Tragopogon pratensis
Verbascum species,
Veronica chamaedrys,Veronica chamaedrys agg.
Veronica sublobata,Veronica hederifolia agg.
Vicia angustifolia,Vicia sativa
Vicia sativa,Vicia sativa
Vicia villosa subsp. villosa,Vicia villosa
Viola tricolor,Viola tricolor agg.
Viscaria vulgaris,Silene viscaria
Buglossoides arvensis,Buglossoides arvensis agg.
Anthemis austriaca,Cota austriaca
Centaurea cyanus,Cyanus segetum
Cerastium pumilum,
Chamaecytisus supinus,Cytisus hirsutus
Crepis foetida subsp. foetida,Crepis foetida agg.
Cytisus nigricans,Lembotropis nigricans
Festuca brevipila,Festuca stricta subsp. trachyphylla
Gagea pratensis agg.,Gagea pratensis
Leucanthemum vulgare,Leucanthemum vulgare agg.
Microthlaspi perfoliatum,Noccaea perfoliata
Veronica vindobonensis,Veronica chamaedrys agg.
Salsola tragus,Salsola kali agg.
Erigeron acris agg.,Erigeron acris
Cerastium tenoreanum,Cerastium brachypetalum
Cerastium brachypetalum,Cerastium brachypetalum
Galium boreale subsp. boreale,Galium boreale
Rubus sect. Rubus,Rubus fruticosus agg.
Verbascum chaixii subsp. austriacum,Verbascum chaixii
Corispermum pallasii,Corispermum hyssopifolium
